Aprobar,AprobarImp,CodModo,CodMon,CodMot,CodPag,CodSerie,CodSunat,DesCli,DesDoc,DesMon,DesMot,Documento,DsctoSug,Estado,EstadoSunat,FactorSug,Factura,FecDoc,IdCliente,IdGuia,IdLocacion,IdSerieDoc,IdSugerido,NumCot,NumDoc,NumFac,NumJob,NumOrden,ObservacionSunat,TieneNotas,TipMov,TotNeto,TotNetoSug
True,True,02,US,1,00,T001,09,ENERGIA PERUANA OPERACIONES S.A.C.,Guia de Remisión,DOLARES USA         ,Venta,T001-2297,,FC,ACEPTADO,,True,2025-08-11T00:00:00,57577,156039,72,296,0,1802,2297,F/ F001-1559,,250810016,"El Comprobante numero T001-2297, ha sido aceptado",True,D,379.56,0.0
False,False,02,US,9,,T001,09,TECNOLOGICA DE ALIMENTOS S.A.,Guia de Remisión,DOLARES USA         ,Otros,T001-2298,,IM,ACEPTADO,,False,2025-08-11T00:00:00,56972,156040,72,296,0,,2298,,0024/25,,"El Comprobante numero T001-2298, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,CORPORACION PESQUERA INCA S.A.C.,Guia de Remisión,DOLARES USA         ,Otros,T001-2299,,IM,ACEPTADO,,False,2025-08-11T00:00:00,57627,156041,72,296,0,,2299,,2057/25,,"El Comprobante numero T001-2299, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,PESQUERA HAYDUK S.A.,Guia de Remisión,DOLARES USA         ,Otros,T001-2300,,IM,ACEPTADO,,False,2025-08-11T00:00:00,56971,156042,72,296,0,,2300,,2056/25,,"El Comprobante numero T001-2300, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC,Guia de Remisión,DOLARES USA         ,Otros,T001-2301,,IM,ACEPTADO,,False,2025-08-11T00:00:00,56856,156044,72,296,0,,2301,,,,"El Comprobante  numero T001-2301, ha sido aceptado",False,O,0.0,0.0
True,True,02,US,1,04,T001,09,PLUTON TRANSPORTES SAC,Guia de Remisión,DOLARES USA         ,Venta,T001-2302,,FC,ACEPTADO,,True,2025-08-12T00:00:00,57906,156045,72,296,0,1803,2302,F/ F001-1554,,COT.1803-2025BAT,"El Comprobante numero T001-2302, ha sido aceptado",True,D,443.56,0.0
False,False,02,US,9,,T001,09,CORPORACION PESQUERA INCA S.A.C.,Guia de Remisión,DOLARES USA         ,Otros,T001-2303,,IM,ACEPTADO,,False,2025-08-13T00:00:00,57627,156049,72,296,0,,2303,,2057/25,,"El Comprobante numero T001-2303, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,PESQUERA HAYDUK S.A.,Guia de Remisión,DOLARES USA         ,Otros,T001-2304,,IM,ACEPTADO,,False,2025-08-13T00:00:00,56971,156050,72,296,0,,2304,,2056/25,,"El Comprobante numero T001-2304, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,TECNOLOGICA DE ALIMENTOS S.A.,Guia de Remisión,DOLARES USA         ,Otros,T001-2305,,IM,ACEPTADO,,False,2025-08-14T00:00:00,56972,156052,72,296,0,,2305,,0024/25,,"El Comprobante numero T001-2305, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,PESQUERA NIROCI SOCIEDAD ANONIMA CERRADA,Guia de Remisión,DOLARES USA         ,Otros,T001-2306,,AN,ACEPTADO,,False,2025-08-14T00:00:00,56918,156055,72,296,0,,2306,,0020/24,,"El Comprobante numero T001-2306, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,INDUSTRIAL EXCHANGER TUBILLAS S.A.C.,Guia de Remisión,DOLARES USA         ,Otros,T001-2307,,IM,ACEPTADO,,False,2025-08-14T00:00:00,57230,156056,72,296,0,,2307,,2056/25,,"El Comprobante numero T001-2307, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC,Guia de Remisión,DOLARES USA         ,Otros,T001-2308,,IM,ACEPTADO,,False,2025-08-14T00:00:00,56856,156057,72,296,0,,2308,,0020/24,,"El Comprobante numero T001-2308, ha sido aceptado",True,O,0.0,0.0
True,True,02,US,1,03,T001,09,WHIND S.A.C.,Guia de Remisión,DOLARES USA         ,Venta,T001-2309,,FC,ACEPTADO,,True,2025-08-15T00:00:00,57295,156058,72,296,0,1807,2309,F/ F001-1555,,WHIND 1807,"El Comprobante numero T001-2309, ha sido aceptado",True,D,136.56,0.0
False,False,02,US,9,,T001,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC,Guia de Remisión,DOLARES USA         ,Otros,T001-2310,,IM,ACEPTADO,,False,2025-08-15T00:00:00,56856,156059,72,296,0,,2310,,2056/25,,"El Comprobante numero T001-2310, ha sido aceptado",True,O,0.0,0.0
